POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
99,-1391.7667,-13651.9052,-2086.5732,1595.413,-974.4677,-15043.6719,-1465.6279,-16509.2998

Ligand Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-14.1177,-87.7816,-39.5001,63.6152,-56.1924,-101.8993,-32.0773,-133.97660000000002
1,-10.0404,-83.2495,-39.4869,63.842,-56.8257,-93.2899,-32.4706,-125.76050000000001
2,-11.2451,-83.8272,-40.8968,63.2088,-56.9176,-95.07230000000001,-34.6056,-129.67790000000002
3,-10.2964,-87.7769,-40.1516,62.8592,-56.4096,-98.0733,-33.702,-131.7753
4,-11.4768,-91.2952,-38.2126,63.3317,-56.4381,-102.77199999999999,-31.319000000000003,-134.091
5,-11.1554,-81.1858,-40.9331,62.3914,-55.2287,-92.3412,-33.77040000000001,-126.11160000000001
6,-11.3671,-80.7166,-41.8107,61.9425,-55.0958,-92.0837,-34.96399999999999,-127.04769999999999
7,-11.2882,-76.7362,-44.1175,62.0134,-55.5635,-88.0244,-37.6676,-125.69200000000001
8,-13.1447,-85.0867,-40.0465,61.711,-54.9566,-98.2314,-33.292100000000005,-131.52349999999998
9,-10.8063,-75.746,-43.0,63.516,-56.7893,-86.5523,-36.2733,-122.82560000000001
10,-11.2557,-81.0851,-41.3726,63.5585,-56.9634,-92.3408,-34.777499999999996,-127.1183
11,-12.0791,-83.8109,-41.3337,63.2136,-56.0223,-95.89,-34.1424,-130.0324
12,-11.6628,-87.6449,-40.0049,62.5757,-55.4657,-99.30770000000001,-32.8949,-132.20260000000002
13,-10.1643,-85.4795,-37.7126,62.6088,-55.9663,-95.6438,-31.070099999999996,-126.7139
14,-8.3672,-84.5584,-39.5012,62.4434,-55.3325,-92.9256,-32.3903,-125.31590000000003
15,-10.1941,-83.9931,-40.3663,63.0954,-56.6009,-94.1872,-33.87180000000001,-128.05900000000003
16,-7.5998,-87.1437,-39.1115,63.275,-56.8502,-94.7435,-32.6867,-127.43019999999999
17,-8.4677,-83.345,-41.8165,63.9271,-56.7357,-91.8127,-34.625099999999996,-126.43780000000001
18,-11.2844,-87.0382,-40.6247,63.5112,-56.3761,-98.32260000000001,-33.489599999999996,-131.81220000000002
19,-11.2376,-89.2475,-38.466,63.1994,-55.7083,-100.4851,-30.974900000000005,-131.46
20,-9.7293,-82.6716,-41.02,63.9223,-56.1847,-92.4009,-33.2824,-125.68329999999997
21,-7.6393,-84.4811,-37.7795,63.0388,-56.1394,-92.1204,-30.8801,-123.00049999999999
22,-7.7197,-83.2964,-41.4294,64.324,-57.6647,-91.01610000000001,-34.770100000000006,-125.78620000000001
23,-12.4051,-81.6056,-41.0503,63.0954,-56.251,-94.0107,-34.2059,-128.2166
24,-13.7005,-85.031,-40.4861,64.2247,-57.351,-98.73150000000001,-33.6124,-132.34390000000002
25,-10.3512,-88.8991,-40.4562,64.2247,-57.3368,-99.25030000000001,-33.5683,-132.8186
26,-9.052,-94.251,-40.4435,64.2814,-57.7821,-103.303,-33.944199999999995,-137.2472
27,-8.6095,-89.0025,-41.3685,64.9949,-58.2845,-97.612,-34.6581,-132.2701
28,-9.6276,-90.4736,-39.759,65.4438,-58.1852,-100.1012,-32.500400000000006,-132.60160000000002
